,Target
Marital status,-0.0898035315579437
Application mode,-0.21202477296659522
Application order,0.08979090533420346
Course,0.007841037646220055
Daytime/evening attendance,0.0751065008654975
Previous qualification,-0.09136519247907858
Nacionality,-0.004740398088644307
Mother's qualification,-0.03834644742189941
Father's qualification,0.0003288100859231614
Mother's occupation,0.048424249511703744
Father's occupation,0.051701793506245534
Displaced,0.11398557002006574
Educational special needs,-0.007353073212746184
Debtor,-0.2409989028231076
Tuition fees up to date,0.4098267546786874
Gender,-0.22926957430635375
Scholarship holder,0.29759529139821356
Age at enrollment,-0.24343751143960052
International,0.003933993478557457
Curricular units 1st sem (credited),0.04814971476501183
Curricular units 1st sem (enrolled),0.15597396850095144
Curricular units 1st sem (evaluations),0.04436155345941218
Curricular units 1st sem (approved),0.5291232554190112
Curricular units 1st sem (grade),0.4852073909050093
Curricular units 1st sem (without evaluations),-0.06870181937223804
Curricular units 2nd sem (credited),0.054003808289785904
Curricular units 2nd sem (enrolled),0.17584682400648632
Curricular units 2nd sem (evaluations),0.09272064884727553
Curricular units 2nd sem (approved),0.6241574639770566
Curricular units 2nd sem (grade),0.5668272799035226
Curricular units 2nd sem (without evaluations),-0.09402777036238123
Unemployment rate,0.008626681446119487
Inflation rate,-0.02687406489333509
GDP,0.044134689880097853
Target,1.0
